STORE NAME#@LICENSE ID#@ACCOUNT NUMBER#@SQUARE FEET#@BUFFER SIZE#@ADDRESS#@ZIP CODE#@COMMUNITY AREA NAME#@COMMUNITY AREA#@WARD#@CENSUS TRACT#@CENSUS BLOCK#@X COORDINATE#@Y COORDINATE#@LATITUDE#@LONGITUDE#@LOCATION
CALMA OPTIMAL DELI, INC.#@1991322#@346718#@3000#@B#@5155 W ADDISON ST#@60641#@PORTAGE PARK#@15#@38#@17031151001#@170311510011000#@1141134.00892007#@1923401.78958098#@41.9458951009#@-87.7566458523#@(41.9458951009, -87.7566458523)"
CARNICERIA DEL RIO#@1801493#@314238#@3000#@B#@2714 W CERMAK RD#@60608#@SOUTH LAWNDALE#@30#@28#@17031840700#@170318407003012#@1158513.93009331#@1889320.58980214#@41.8520347381#@-87.6936969081#@(41.8520347381, -87.6936969081)"
CARNICERIA EL PORVENIR#@1768971#@311076#@2500#@B#@150 E KENSINGTON AVE#@60628#@WEST PULLMAN#@53#@9#@17031530100#@170315301001016#@1179443.18050009#@1828274.07861954#@41.684063198#@-87.6187429679#@(41.6840631980, -87.6187429679)"
CARNICERIA&FRUTERIA EL MITOTE#@49322#@17160#@4500#@B#@4459 W BELMONT AVE#@60641#@HERMOSA#@20#@31#@17031200100#@170312001003000#@1145834.31470295#@1920855.40363832#@41.9388195147#@-87.7394338028#@(41.9388195147, -87.7394338028)"
CARNICERIA GUANAJUATO#@2069477#@358374#@9325#@B#@5250 W FULLERTON AVE#@60639#@BELMONT CRAGIN#@19#@31#@17031190702#@170311907023020#@1140756.18006307#@1915489.20803478#@41.9241891458#@-87.7582297412#@(41.9241891458, -87.7582297412)"
CARNICERIA GUANAJUATO #3#@2060960#@357299#@9000#@B#@3132 N CALIFORNIA AVE#@60618#@AVONDALE#@21#@33#@17031210800#@170312108001001#@1157122.78393106#@1920845.30843489#@41.9385697153#@-87.6979459455#@(41.9385697153, -87.6979459455)"
CARNICERIA GUANJUATO #3#@17340#@63206#@8800#@B#@1436 N ASHLAND AVE#@60622#@WEST TOWN#@24#@1#@17031241500#@170312415002000#@1165420.7459043#@1909810.0076175#@41.9081153739#@-87.6677638335#@(41.9081153739, -87.6677638335)"
CARNICERIA JIMENEZ #2#@48081#@16943#@19000#@A#@3850 W FULLERTON AVE#@60647#@LOGAN SQUARE#@22#@30#@17031220701#@170312207013015#@1150082.91541282#@1915713.66766578#@41.9246283205#@-87.723953321#@(41.9246283205, -87.7239533210)"
CARNICERIA JIMENEZ INC#@1693#@85292#@16000#@A#@4204 W NORTH AVE#@60639#@HUMBOLDT PARK#@23#@30#@17031230500#@170312306004000#@1148051.22483604#@1910341.24295742#@41.9099252471#@-87.7315572163#@(41.9099252471, -87.7315572163)"
CARNICERIA LA AZTECA#@1354069#@262231#@2500#@B#@7067 N CLARK ST#@60626#@ROGERS PARK#@1#@49#@17031010702#@170310107021002#@1163376.52137849#@1947274.50192836#@42.0109629527#@-87.6742146577#@(42.0109629527, -87.6742146577)"
CARNICERIA LA GLORIA#@1471030#@271545#@6500#@B#@2551 W 51ST ST#@60632#@GAGE PARK#@63#@14#@17031630500#@170316305001004#@1160008.90170524#@1870722.7071781#@41.8009692763#@-87.6887220987#@(41.8009692763, -87.6887220987)"
